audit_subset,strategy,consensus_wrong_support_score_mean,consensus_wrong_support_score_median,consensus_wrong_support_score_max,occ_support_score_mean,occ_support_score_median,occ_support_score_max,grad_support_score_mean,grad_support_score_median,grad_support_score_max,attn_score_mean,attn_score_median,attn_score_max
all_wrong_high_conf,constant,0.0525560030961514,0.03252378969605455,0.10368906060509066,0.0,0.0,0.0,0.15016000884614686,0.09292511341729873,0.2962544588716876,0.0,0.0,0.0
all_wrong_high_conf,discrete_compact_offset0,0.03583994232463733,0.020497356755032673,0.1798976319617313,0.025623730759454254,0.0,0.11388176691514408,0.0657945055568863,0.0,0.5139932341763752,0.0,0.0,0.0
all_wrong_high_conf,keep_current,0.22661633639666198,0.2239964826219351,0.7150840770026783,0.3568800418835466,0.3745427734758602,1.0,0.1376466155853962,0.0,1.0,0.0,0.0,0.0
all_wrong_high_conf,rank_uniform_offset,0.07460093281111568,0.03929226512047854,0.3831558173538763,0.07727358436342804,0.047108403084977435,0.21717715908941937,0.10275468751257619,0.0,0.8510497733338649,0.0,0.0,0.0
cls_ood_confident,constant,0.00012457926095455925,0.0,0.00037373778286367776,0.0,0.0,0.0,0.000355940745584455,0.0,0.0010678222367533651,0.0,0.0,0.0
cls_ood_confident,discrete_compact_offset0,0.02126343459826066,0.004988316444203559,0.144582440872054,0.038640055497353804,0.0,0.289164881744108,0.00555259099881075,0.0,0.05264264492392835,0.0,0.0,0.0
cls_ood_confident,keep_current,0.26577044515045645,0.2747971226327427,0.600803707317562,0.45710895642307886,0.4977779817035893,1.0,0.10633133411119143,0.0,1.0,0.0,0.0,0.0
cls_ood_confident,rank_uniform_offset,0.09584368930560368,0.08114497562281053,0.29389919122729513,0.14208349503974077,0.09006906142484068,0.4276239256460441,0.07086269081638087,0.0,0.4188649057281026,0.0,0.0,0.0
correct_high_conf_control,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
correct_high_conf_control,discrete_compact_offset0,0.041828808406791415,0.0003786291483261647,0.691983961494296,0.05490211805540329,0.0005974241352612812,1.0,0.04107928394025648,0.0,0.5485256042694171,0.0,0.0,0.0
correct_high_conf_control,keep_current,0.0749133492365075,0.04154272704134701,0.3651282957876902,0.07451300898239198,0.05618639216244729,0.3857642545574654,0.10759098498660433,0.0,1.0,0.0,0.0,0.0
correct_high_conf_control,rank_uniform_offset,0.018997892674835346,0.0018178887396292488,0.20331272782556997,0.011111226109461277,0.003357067047998709,0.0867747795890788,0.03840651320029917,0.0,0.5760976980044875,0.0,0.0,0.0
feature_space_overlap,constant,0.0012045106531545946,0.0010772472890712074,0.0025362846703925763,0.0,0.0,0.0,0.003441459009013128,0.0030778493973463075,0.0072465276296930755,0.0,0.0,0.0
feature_space_overlap,discrete_compact_offset0,0.006392722106944628,0.001726397292455559,0.052190738099433726,0.0076404227254191544,0.0,0.09784711039793512,0.00735003069781443,0.0,0.05319343537147143,0.0,0.0,0.0
feature_space_overlap,keep_current,0.15132211591969943,0.0829298351155443,0.5281016047709474,0.20563704146072626,0.11412998934193477,1.0,0.1385817005409609,0.0,1.0,0.0,0.0,0.0
feature_space_overlap,rank_uniform_offset,0.033213107664024966,0.02198139547181153,0.08056084605500578,0.047964782027777625,0.03879757960691589,0.16112169211001157,0.02637347614324615,0.0,0.11586901035934911,0.0,0.0,0.0
model_amplification,constant,0.06415262955012611,0.036126098339934444,0.12085472412674962,0.0,0.0,0.0,0.18329322728607464,0.10321742382838413,0.3452992117907132,0.0,0.0,0.0
model_amplification,discrete_compact_offset0,0.048165104337055634,0.012136000094317994,0.26412403836987375,0.020154015236434685,0.0,0.11767250015004975,0.10882313348239513,0.0,0.737273340531924,0.0,0.0,0.0
model_amplification,keep_current,0.1895614891148148,0.2168617620345031,0.5,0.35297438648629964,0.4188673761896349,1.0,0.03735513106189993,0.0,0.3037648714349347,0.0,0.0,0.0
model_amplification,rank_uniform_offset,0.09459747068365516,0.08187704696611539,0.3896398150879883,0.08419355069322582,0.057786977390612525,0.21281220763697067,0.15000198667726358,0.0,1.0,0.0,0.0,0.0
