run,true_class,pred_class,count,correct,delta_vs_C2
C2_K512,Benign,Benign,5854,True,0
C2_K512,Benign,Ransomware,1,False,0
C2_K512,Benign,Spyware,4,False,0
C2_K512,Benign,Trojan,1,False,0
C2_K512,Ransomware,Benign,0,False,0
C2_K512,Ransomware,Ransomware,1470,True,0
C2_K512,Ransomware,Spyware,287,False,0
C2_K512,Ransomware,Trojan,202,False,0
C2_K512,Spyware,Benign,1,False,0
C2_K512,Spyware,Ransomware,161,False,0
C2_K512,Spyware,Spyware,1646,True,0
C2_K512,Spyware,Trojan,196,False,0
C2_K512,Trojan,Benign,0,False,0
C2_K512,Trojan,Ransomware,362,False,0
C2_K512,Trojan,Spyware,209,False,0
C2_K512,Trojan,Trojan,1326,True,0
K1024_RANK_SAFE,Benign,Benign,5848,True,-6
K1024_RANK_SAFE,Benign,Ransomware,4,False,3
K1024_RANK_SAFE,Benign,Spyware,6,False,2
K1024_RANK_SAFE,Benign,Trojan,2,False,1
K1024_RANK_SAFE,Ransomware,Benign,0,False,0
K1024_RANK_SAFE,Ransomware,Ransomware,1392,True,-78
K1024_RANK_SAFE,Ransomware,Spyware,301,False,14
K1024_RANK_SAFE,Ransomware,Trojan,266,False,64
K1024_RANK_SAFE,Spyware,Benign,1,False,0
K1024_RANK_SAFE,Spyware,Ransomware,190,False,29
K1024_RANK_SAFE,Spyware,Spyware,1561,True,-85
K1024_RANK_SAFE,Spyware,Trojan,252,False,56
K1024_RANK_SAFE,Trojan,Benign,0,False,0
K1024_RANK_SAFE,Trojan,Ransomware,384,False,22
K1024_RANK_SAFE,Trojan,Spyware,224,False,15
K1024_RANK_SAFE,Trojan,Trojan,1289,True,-37
K1024_ABS_CONTROL,Benign,Benign,5855,True,1
K1024_ABS_CONTROL,Benign,Ransomware,0,False,-1
K1024_ABS_CONTROL,Benign,Spyware,4,False,0
K1024_ABS_CONTROL,Benign,Trojan,1,False,0
K1024_ABS_CONTROL,Ransomware,Benign,0,False,0
K1024_ABS_CONTROL,Ransomware,Ransomware,1410,True,-60
K1024_ABS_CONTROL,Ransomware,Spyware,309,False,22
K1024_ABS_CONTROL,Ransomware,Trojan,240,False,38
K1024_ABS_CONTROL,Spyware,Benign,0,False,-1
K1024_ABS_CONTROL,Spyware,Ransomware,193,False,32
K1024_ABS_CONTROL,Spyware,Spyware,1572,True,-74
K1024_ABS_CONTROL,Spyware,Trojan,239,False,43
K1024_ABS_CONTROL,Trojan,Benign,0,False,0
K1024_ABS_CONTROL,Trojan,Ransomware,353,False,-9
K1024_ABS_CONTROL,Trojan,Spyware,210,False,1
K1024_ABS_CONTROL,Trojan,Trojan,1334,True,8
