true_class,pred_class,n,pred_closer_than_true_centroid_rate,dist_to_true_centroid_mean,dist_to_pred_centroid_mean,centroid_margin_true_minus_pred_mean
Trojan,Ransomware,361,0.0997229916897507,3.4126211059720895,3.586802668848857,-0.1741815628767674
Ransomware,Spyware,287,0.4912891986062718,5.756665801752735,5.8024377964099525,-0.045771994657217416
Trojan,Spyware,209,0.4258373205741627,3.3918096534373086,3.5751735907422297,-0.18336393730492112
Ransomware,Trojan,202,0.8762376237623762,3.6691160632832216,3.4995241256633607,0.1695919376198608
Spyware,Trojan,196,0.6377551020408163,4.206568067171136,3.9543119921367995,0.25225607503433617
Spyware,Ransomware,161,0.5590062111801242,5.217912295590276,5.124945857510063,0.09296643808021308
Benign                                                                                      ,Spyware,4,1.0,5.508854031562805,3.8224067091941833,1.6864473223686218
Benign                                                                                      ,Ransomware,1,1.0,4.772409915924072,3.767624616622925,1.0047852993011475
Spyware,Benign                                                                                      ,1,0.0,70.32243347167969,70.43270111083984,-0.11026763916015625
Benign                                                                                      ,Trojan,1,1.0,5.409121513366699,3.94018816947937,1.468933343887329
