space,rare_count_bin,rootcause_category,wrong_n,wrong_rate_in_space,confidence_mean,knn_true_frac_mean,knn_pred_frac_mean,ood95_rate
cls_classifier_input,0,feature_space_overlap_with_pred_class,822,0.5776528460997892,0.7715610159864681,0.1632603406326034,0.7909975669099756,0.0
cls_classifier_input,0,OOD_or_distribution_shift,364,0.25579761068165846,0.7735289223082773,0.15032967032967032,0.78,1.0
cls_classifier_input,0,mixed_neighbors_ambiguous,94,0.06605762473647224,0.4908882325634043,0.28936170212765955,0.41957446808510634,0.0
cls_classifier_input,0,model_boundary_failure_knn_true_neighbors,66,0.046380885453267746,0.5603283494710922,0.5903030303030303,0.39272727272727276,0.0
cls_classifier_input,1,feature_space_overlap_with_pred_class,22,0.015460295151089248,0.8876945836977526,0.07272727272727272,0.9072727272727273,0.0
cls_classifier_input,1,OOD_or_distribution_shift,19,0.013352073085031623,0.7665511401076066,0.16,0.7726315789473684,1.0
cls_classifier_input,1,model_boundary_failure_knn_true_neighbors,4,0.0028109627547434997,0.534913569688797,0.5700000000000001,0.4,0.0
cls_classifier_input,2,OOD_or_distribution_shift,4,0.0028109627547434997,0.8249529451131821,0.01,0.89,1.0
cls_classifier_input,2,feature_space_overlap_with_pred_class,2,0.0014054813773717498,0.9758615493774414,0.0,1.0,0.0
cls_classifier_input,3-4,feature_space_overlap_with_pred_class,10,0.007027406886858749,0.9633004605770111,0.036,0.9640000000000001,0.0
cls_classifier_input,3-4,OOD_or_distribution_shift,8,0.005621925509486999,0.8550853133201599,0.1,0.875,1.0
cls_classifier_input,5-8,feature_space_overlap_with_pred_class,4,0.0028109627547434997,0.9996840357780457,0.0,1.0,0.0
cls_classifier_input,5-8,OOD_or_distribution_shift,3,0.0021082220660576245,0.9276323119799296,0.05333333333333334,0.9199999999999999,1.0
cls_classifier_input,9+,OOD_or_distribution_shift,1,0.0007027406886858749,0.9998788833618164,0.0,1.0,1.0
raw_scaled,0,mixed_neighbors_ambiguous,731,0.5137034434293746,0.7305184012806366,0.3179753761969904,0.3375649794801642,0.0
raw_scaled,0,feature_space_overlap_with_pred_class,353,0.24806746310611386,0.7626808712063701,0.22617563739376773,0.6358073654390934,0.0
raw_scaled,0,model_boundary_failure_knn_true_neighbors,219,0.15390021082220662,0.7236659171646589,0.6115068493150686,0.2602739726027397,0.0
raw_scaled,0,OOD_or_distribution_shift,43,0.030217849613492623,0.8649933268857557,0.41674418604651176,0.3897674418604651,1.0
raw_scaled,1,OOD_or_distribution_shift,25,0.017568517217146872,0.8483442091941833,0.47040000000000004,0.3968,1.0
raw_scaled,1,mixed_neighbors_ambiguous,15,0.010541110330288124,0.7109519680341084,0.2906666666666667,0.3333333333333333,0.0
raw_scaled,1,feature_space_overlap_with_pred_class,3,0.0021082220660576245,0.824765940507253,0.30666666666666664,0.6000000000000001,0.0
raw_scaled,1,model_boundary_failure_knn_true_neighbors,2,0.0014054813773717498,0.9431121051311493,0.6200000000000001,0.30000000000000004,0.0
raw_scaled,2,OOD_or_distribution_shift,4,0.0028109627547434997,0.8519591838121414,0.37,0.34,1.0
raw_scaled,2,mixed_neighbors_ambiguous,1,0.0007027406886858749,0.9601274132728577,0.2,0.44,0.0
raw_scaled,2,model_boundary_failure_knn_true_neighbors,1,0.0007027406886858749,0.8835707306861877,0.64,0.24,0.0
raw_scaled,3-4,OOD_or_distribution_shift,18,0.012649332396345749,0.9152048395739661,0.41555555555555557,0.39333333333333337,1.0
raw_scaled,5-8,OOD_or_distribution_shift,7,0.004919184820801124,0.9688047255788531,0.43999999999999995,0.44,1.0
raw_scaled,9+,OOD_or_distribution_shift,1,0.0007027406886858749,0.9998788833618164,0.28,0.0,1.0
token_bin_offset,0,mixed_neighbors_ambiguous,721,0.5066760365425158,0.7484419138768841,0.3221636615811373,0.34613037447988904,0.0
token_bin_offset,0,feature_space_overlap_with_pred_class,398,0.2796907940969782,0.7406662740000528,0.2342713567839196,0.6174874371859296,0.0
token_bin_offset,0,model_boundary_failure_knn_true_neighbors,210,0.14757554462403374,0.712047785236722,0.5908571428571429,0.2702857142857143,0.0
token_bin_offset,0,OOD_or_distribution_shift,17,0.011946591707659873,0.880647995892693,0.45882352941176474,0.39294117647058824,1.0
token_bin_offset,1,OOD_or_distribution_shift,21,0.014757554462403373,0.8295408629235768,0.3904761904761904,0.4876190476190476,1.0
token_bin_offset,1,mixed_neighbors_ambiguous,18,0.012649332396345749,0.738421254687839,0.2822222222222222,0.30888888888888894,0.0
token_bin_offset,1,model_boundary_failure_knn_true_neighbors,4,0.0028109627547434997,0.9775310903787613,0.73,0.23,0.0
token_bin_offset,1,feature_space_overlap_with_pred_class,2,0.0014054813773717498,0.8056708574295044,0.32,0.62,0.0
token_bin_offset,2,OOD_or_distribution_shift,3,0.0021082220660576245,0.8771063685417175,0.37333333333333335,0.4266666666666666,1.0
token_bin_offset,2,mixed_neighbors_ambiguous,3,0.0021082220660576245,0.8734052578608195,0.32,0.22666666666666668,0.0
token_bin_offset,3-4,OOD_or_distribution_shift,18,0.012649332396345749,0.9152048395739661,0.4133333333333334,0.31777777777777777,1.0
token_bin_offset,5-8,OOD_or_distribution_shift,7,0.004919184820801124,0.9688047255788531,0.3714285714285715,0.5142857142857142,1.0
token_bin_offset,9+,OOD_or_distribution_shift,1,0.0007027406886858749,0.9998788833618164,0.04,0.0,1.0
